video_id,title,published_at,query,has_caption,caption_path
AKn9_SmRrLI,3-Ingredient Butter Cookies 🍪,2023-04-01T12:00:14Z,ingredient breakdown,False,
3JGOK5q5IMA,3-Ingredient Nutella Cookies! Recipe tutorial #Shorts,2021-07-27T17:47:58Z,ingredient breakdown,False,
sShqBTZEEXw,What&#39;s the Best Skincare Ingredient? | Lab Muffin Beauty Science,2019-09-07T22:30:02Z,ingredient breakdown,False,
icnfVgcA_hE,3-Ingredient THICK &amp; creamy Oreo Shake in 9 Seconds! Quick &amp; Yummy Summer Drink 🍫🥤,2025-07-30T13:30:47Z,ingredient breakdown,False,
TWwXXO_s1jI,"Ingredient Breakdown- BHA salicylic Acid! What is it, how does it work and my favorite products",2022-06-03T06:00:06Z,ingredient breakdown,False,
oi0M0JER2sY,3-Ingredient Healthy Cookies 😋🍌🙌,2024-10-02T15:57:22Z,ingredient breakdown,False,
k3aIeABbNvY,Why I QUIT Skincare Videos (Dermatologist),2022-07-21T15:00:26Z,dermatologist explains skincare,False,
rcIDAuIiSaI,"Cleanse, Treat, Protect - Foundations of Skincare",2020-08-24T13:22:47Z,dermatologist explains skincare,False,
UJANPbD8eQg,Skincare Basics Explained,2023-09-30T16:00:18Z,dermatologist explains skincare,False,
J6HZaon4cP8,SKIN CARE THAT WORKS| Dermatologists explain what your skin needs ft. Dr. Priyanka Reddy Ep.12,2025-10-02T08:50:21Z,dermatologist explains skincare,False,
qVIdfSLFfSM,#1 Dermatologist: The Ultimate Skincare Routine for Amazing Skin,2026-02-26T10:01:20Z,dermatologist explains skincare,False,
jzPBqgvIXpQ,How to pick a moisturizer #dermatologist #skincare,2025-09-13T20:46:05Z,dermatologist explains skincare,False,
g2lkPfRHTRg,Dermatologists rating various skincare for your skin #skincare #haircare #acne #dermatologist #glow,2025-08-13T12:07:23Z,dermatologist explains skincare,False,
pO4ge8AcGYo,Dermatologist builds you a skincare routine - budget edition #skincareroutine #budgetskincare,2024-03-20T13:27:17Z,dermatologist explains skincare,False,
hL4Y_kn3sio,Avoid these retinol mistakes | dermatologist explains,2023-06-01T05:00:05Z,dermatologist explains skincare,False,
oYtfaQTwx7A,Build a skin care routine | dermatologist guides easy steps to make your routine,2024-01-26T08:30:13Z,dermatologist explains skincare,False,
jWEn9Ea31pU,Dermatologist Explains: Three Skincare Hacks You Need to Do Now!,2023-11-11T18:00:22Z,dermatologist explains skincare,False,
rZzLemjD0XU,Dermatologist Explains How to Layer Products in Your Morning Skincare Routine | Dr. Sam Ellis,2023-03-29T13:00:44Z,dermatologist explains skincare,False,
OrElyY7MFVs,My Evidence-Based Skincare Routine,2022-06-28T14:03:21Z,dermatologist explains skincare,False,
